dataset,uni_MASE,uni_WQL,cl_MASE,cl_WQL
monash_australian_electricity,0.354903271741925,0.01663288472912813,0.3118058125161081,0.014666893316585418
monash_cif_2016,0.2905665041056019,0.01199226768385296,0.290566504105602,0.01222378407365232
monash_car_parts,1.144303321838379,1.0351154115464951,1.1706962585449219,1.0503298229641385
monash_covid_deaths,24.911663856098933,0.08343817655087095,31.911551433389548,0.12143142913080858
dominick,0.10156970123774586,0.03119451499332469,0.08489789656421481,0.024028205847894484
ercot,0.4724050631310186,0.01359202370381908,0.6204861852864484,0.01680939063746655
exchange_rate,1.6004577806318967,0.013203560639163954,1.6942607596487556,0.013521616605903928
monash_fred_md,0.47251678075279074,0.005198050616379752,0.38890019306213347,0.005094594529564719
monash_hospital,0.4282894736842106,0.1883660600255428,0.5078947368421053,0.2209600494891443
monash_m1_monthly,0.6104613334582573,0.10406165392219748,0.7371549628611732,0.11510621992557518
monash_m1_quarterly,0.9598207310772198,0.06334278346579242,1.3835585878719223,0.060425682988786936
monash_m1_yearly,7.21410334206562,0.15021409480613956,7.905720346435904,0.16253807035343748
monash_m3_monthly,0.7595289861655332,0.10503292780980816,0.79117283090781,0.1041948847709062
monash_m3_quarterly,0.42246203037569946,0.037451785492099036,0.3752997601918465,0.036516112977479157
monash_m3_yearly,1.0093985112089798,0.036991445180441465,3.17694460886931,0.05489652365850046
m4_quarterly,0.5713612037090479,0.03352046693080517,0.5786806765607825,0.033661253511569775
m4_yearly,2.5596842744383728,0.010919400567031187,3.5991499696417724,0.01641690292966113
m5,1.5038061587928133,0.7446719092552109,1.4975378870274685,0.7375594322127526
nn5,0.5824320794410329,0.1718969736152732,0.6829355063658916,0.20524383045151226
monash_nn5_weekly,0.5337374588048452,0.032750018292435935,0.6848889580924524,0.039952804849060185
monash_tourism_monthly,1.0462783763766288,0.05654402795326563,1.115500420390765,0.058703854493269064
monash_tourism_quarterly,0.818926221686801,0.03170186833727457,0.6484835777404372,0.03451691398326682
monash_tourism_yearly,6.869973196919913,0.21693631808319722,8.255468159239953,0.2581263293412473
monash_traffic,0.17378021596167556,0.059382716424862814,0.15911311532249958,0.0585320486627012
monash_weather,1.0219376776474958,0.826000666566656,0.9667353159010477,0.808673339005128
