,WQL,WQL,WQL,WQL,WQL,WQL,WQL,MASE,MASE,MASE,MASE,MASE,MASE,MASE
,C2 zs-CL,C2 zs-uni,T5 1s,C2 1s-CLtrain,C2 1s-CLeval,C2 1s-uni,T5 zs,C2 zs-CL,T5 1s,C2 zs-uni,C2 1s-CLtrain,C2 1s-uni,C2 1s-CLeval,T5 zs
dataset,,,,,,,,,,,,,,
dominick,0.7508989963778336,0.7630982568544512,0.7946265619374828,0.7461494373349365,0.7465158447022926,0.7443251794783136,0.8139216599334334,1.0806923998606892,1.061712441939964,1.0790110768435952,1.0881070203096774,1.0813539623359487,1.0818593596621908,1.0795157979460435
ercot,0.6806547334661193,0.7114871317583169,0.4463813403355979,1.2570783663833018,1.1204738913058838,1.1235416197563899,0.46342768724319455,1.0305699989594364,0.7848275809416948,1.1056880603342147,1.8418348035001693,1.6056328365627077,1.597652784537005,0.7778123234732484
exchange_rate,0.9081076799300694,0.911210256787203,0.858724518901498,0.9334289326330787,1.3886776648484445,1.2092278372503533,1.064650743113711,1.0626006739368574,0.9551803738539602,1.0438144553163606,0.9990073559244904,1.4731369932938978,2.0612440638118663,1.1466551911256802
m4_quarterly,0.5950008837505948,0.6195432484244765,0.6448651537051903,0.6435940844671972,0.5994740655623448,0.595434837264654,0.7143229860971962,0.7047305695698346,0.6881496087117406,0.7284246301390627,0.7995525103861735,0.6915210897972408,0.689839580594627,0.7697985591171882
m4_yearly,0.6767565526572372,0.7030946990305524,0.7162286007917934,0.7125478448459053,0.6692091447243337,0.6631804843951811,0.8697710919865846,0.7904733497394363,0.7479361667452326,0.811277286135057,0.7974748861264679,0.7340029843869919,0.7383038540506391,0.9196088859387491
m5,0.5368557317457505,0.5332054994254418,0.5867474342330308,0.5333515860436426,0.5327319368395707,0.5332832151277317,0.5964727165873428,0.6672642021670558,0.6834659889223464,0.6635035475067811,0.6663540104039456,0.6638971548370015,0.6642198169499579,0.68729187355906
monash_australian_electricity,0.3448127176021911,0.3664745273013292,0.44877720431989204,0.32596924947006783,0.3184482053470674,0.3372564433833358,0.8656402099773906,0.49264914670280757,0.6530494330305772,0.5004156451429739,0.4684539810290499,0.5080452845528038,0.47847355269013453,0.9453910420635149
monash_car_parts,0.6155269960730045,0.6116745382218082,0.6006072373668812,0.6136710428055069,0.5978553381959467,0.5815069281514567,0.6566079318075375,0.6941662679537782,0.7174841054045019,0.69282903603112,0.7054600070204649,0.6888366933132173,0.6922743286805577,0.729780487017927
monash_cif_2016,0.5373346969175316,0.7493875841935649,0.6351597784849394,0.5305573125509775,0.6794564277204778,0.719734874414613,0.7595490236562217,0.6495150164782828,0.710090441652809,0.7267059246682961,0.6441334283687253,0.7440080206947572,0.694329714532953,0.7769520549211301
monash_covid_deaths,0.2627639488487005,0.2976271325801855,0.30252556604967007,0.2145516741912997,0.21491407284359806,0.22989930582819548,0.506064118440978,0.6937910770035791,0.7626858268366,0.7552304818073076,0.6075334085146181,0.674832598162142,0.6253452639644587,0.9102567635359697
monash_fred_md,0.1769161566774967,0.16364959296224973,0.18689619267682395,0.33687098688067507,0.31263427111116265,0.3549885234386968,0.12206446931518827,0.38684932333165406,0.430300925403765,0.4404336662198539,0.7309496059198344,0.5435052816402279,0.5181525947132887,0.41177249234938695
