dataset,family,severity,n_series,clamped_frac,clamped_lo_frac,clamped_hi_frac,series_any_clamped,scale_mean,nominal_p99,nominal_max,realized_p99,realized_max
monash_australian_electricity,clean,0.0,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,spikes_intensity,1.0,5,0.0,0.0,0.0,0.0,3625.58955078125,1.4018628120422363,1.508171510696411,1.4018628120422363,1.508171510696411
monash_australian_electricity,spikes_intensity,2.0,5,0.0,0.0,0.0,0.0,3630.5620727539062,1.5606606960296632,1.7655826091766358,1.5606606960296632,1.7655826091766358
monash_australian_electricity,spikes_intensity,4.0,5,0.0,0.0,0.0,0.0,3652.807965087891,1.9310714960098267,2.1647395372390745,1.9310714960098267,2.1647395372390745
monash_australian_electricity,spikes_intensity,6.0,5,0.0,0.0,0.0,0.0,3696.0305236816407,2.367535400390625,2.590013265609741,2.367535400390625,2.590013265609741
monash_australian_electricity,spikes_intensity,8.0,5,0.0,0.0,0.0,0.0,3752.057159423828,2.701709508895874,2.8910944938659666,2.701709508895874,2.8910944938659666
monash_australian_electricity,spikes_intensity,12.0,5,0.0,0.0,0.0,0.0,3920.008410644531,3.4499204635620115,3.6967916965484617,3.4499204635620115,3.6967916965484617
monash_australian_electricity,spikes_intensity,16.0,5,0.0,0.0,0.0,0.0,4054.4262756347657,4.109776353836059,4.413186693191529,4.109776353836059,4.413186693191529
monash_australian_electricity,spikes_intensity,20.0,5,0.0,0.0,0.0,0.0,4117.158227539063,4.850784969329834,5.023334598541259,4.850784969329834,5.023334598541259
monash_australian_electricity,spikes_intensity,30.0,5,0.0,0.0,0.0,0.0,4473.002014160156,6.290030002593994,6.556543827056885,6.290030002593994,6.556543827056885
monash_australian_electricity,spikes_intensity,40.0,5,0.0,0.0,0.0,0.0,5117.738012695312,7.405297946929932,7.62255449295044,7.405297946929932,7.62255449295044
monash_australian_electricity,spikes_density,0.01,5,0.0,0.0,0.0,0.0,3707.7870239257813,1.6879921913146974,5.52717170715332,1.6879921913146974,5.52717170715332
monash_australian_electricity,spikes_density,0.02,5,0.0,0.0,0.0,0.0,3808.531774902344,3.9708072662353517,5.410760116577149,3.9708072662353517,5.410760116577149
monash_australian_electricity,spikes_density,0.05,5,0.0,0.0,0.0,0.0,4156.858068847656,4.829056072235107,5.0811872482299805,4.829056072235107,5.0811872482299805
monash_australian_electricity,spikes_density,0.08,5,0.0,0.0,0.0,0.0,4537.061450195312,4.335204410552978,4.522174930572509,4.335204410552978,4.522174930572509
monash_australian_electricity,spikes_density,0.12,5,0.0,0.0,0.0,0.0,4845.165588378906,4.0180971145629885,4.1722334861755375,4.0180971145629885,4.1722334861755375
monash_australian_electricity,spikes_density,0.16,5,0.0,0.0,0.0,0.0,5496.646801757813,3.684282970428467,3.761388731002808,3.684282970428467,3.761388731002808
monash_australian_electricity,spikes_density,0.2,5,0.0,0.0,0.0,0.0,6094.004479980469,3.2859920501708983,3.3977680683135985,3.2859920501708983,3.3977680683135985
monash_australian_electricity,spikes_density,0.3,5,0.0,0.0,0.0,0.0,6932.205639648438,2.8740922451019286,2.9270680427551268,2.8740922451019286,2.9270680427551268
monash_australian_electricity,spikes_density,0.4,5,0.0,0.0,0.0,0.0,8183.250073242188,2.4444416522979737,2.4752813816070556,2.4444416522979737,2.4752813816070556
monash_australian_electricity,drift,0.5,5,0.0,0.0,0.0,0.0,3634.3928405761717,1.4097347021102906,1.436514663696289,1.4097347021102906,1.436514663696289
monash_australian_electricity,drift,1.0,5,0.0,0.0,0.0,0.0,3558.725048828125,1.4257053136825562,1.4536390542984008,1.4257053136825562,1.4536390542984008
monash_australian_electricity,drift,2.0,5,0.0,0.0,0.0,0.0,4262.3174697875975,1.508670401573181,1.543552851676941,1.508670401573181,1.543552851676941
monash_australian_electricity,drift,4.0,5,0.0,0.0,0.0,0.0,3442.2934143066404,1.841685175895691,1.8883600950241088,1.841685175895691,1.8883600950241088
