dataset,model,family,severity,MASE,WQL,n_series,latency_s,MASE_clean,WQL_clean,MASE_degr,WQL_degr
monash_australian_electricity,chronos-2,clean,0.0,0.6271804180014168,0.0306721340583663,5,0.535,0.6271804180014168,0.0306721340583663,1.0,1.0
monash_australian_electricity,chronos-t5,clean,0.0,1.184876521529985,0.0698047190141327,5,0.759,1.184876521529985,0.0698047190141327,1.0,1.0
monash_australian_electricity,chronos-2,spikes_intensity,1.0,0.6430979785057988,0.0299001486484338,5,0.036,0.6271804180014168,0.0306721340583663,1.025379555941981,0.9748310499535675
monash_australian_electricity,chronos-t5,spikes_intensity,1.0,1.1905565189642375,0.0647085366864044,5,0.668,1.184876521529985,0.0698047190141327,1.0047937462942704,0.9269937276490359
monash_australian_electricity,chronos-2,spikes_intensity,2.0,0.6937885829077209,0.0345711966069574,5,0.059,0.6271804180014168,0.0306721340583663,1.1062025582982307,1.1271206803273464
monash_australian_electricity,chronos-t5,spikes_intensity,2.0,1.0919066437571323,0.059752562444376,5,0.673,1.184876521529985,0.0698047190141327,0.9215362309206665,0.8559960313324729
monash_australian_electricity,chronos-2,spikes_intensity,4.0,0.7041538749758314,0.032946381737131,5,0.046,0.6271804180014168,0.0306721340583663,1.1227293690381779,1.0741470311272443
monash_australian_electricity,chronos-t5,spikes_intensity,4.0,1.145177796689641,0.0731076867771791,5,0.657,1.184876521529985,0.0698047190141327,0.9664954751664059,1.0473172560493753
monash_australian_electricity,chronos-2,spikes_intensity,6.0,0.8207079846993588,0.042236459904683,5,0.07,0.6271804180014168,0.0306721340583663,1.3085676164996352,1.3770303632708056
monash_australian_electricity,chronos-t5,spikes_intensity,6.0,1.472139750099206,0.1780754572634478,5,0.622,1.184876521529985,0.0698047190141327,1.2424414893446358,2.551051845468994
monash_australian_electricity,chronos-2,spikes_intensity,8.0,0.8996815147780135,0.0408776057170726,5,0.046,0.6271804180014168,0.0306721340583663,1.4344859771689829,1.3327277990923685
monash_australian_electricity,chronos-t5,spikes_intensity,8.0,4.8029290244626734,0.3617322353591504,5,0.701,1.184876521529985,0.0698047190141327,4.053527044540336,5.182059901794231
monash_australian_electricity,chronos-2,spikes_intensity,12.0,0.8690070408425583,0.0394773902333147,5,0.053,0.6271804180014168,0.0306721340583663,1.3855774445441873,1.2870767374122971
monash_australian_electricity,chronos-t5,spikes_intensity,12.0,1.3156013383525722,0.1110561107112698,5,0.686,1.184876521529985,0.0698047190141327,1.1103277974094612,1.590954197362865
monash_australian_electricity,chronos-2,spikes_intensity,16.0,0.9495156745051376,0.0459751701208828,5,0.048,0.6271804180014168,0.0306721340583663,1.5139434319886447,1.4989230952563066
monash_australian_electricity,chronos-t5,spikes_intensity,16.0,1.3522001978130949,0.1017151984536523,5,0.688,1.184876521529985,0.0698047190141327,1.141216129480776,1.4571392864293171
monash_australian_electricity,chronos-2,spikes_intensity,20.0,0.9917274912510065,0.0459192553524025,5,0.103,0.6271804180014168,0.0306721340583663,1.581247537050441,1.4971001125980443
monash_australian_electricity,chronos-t5,spikes_intensity,20.0,1.0440586680811526,0.068941574340409,5,0.778,1.184876521529985,0.0698047190141327,0.8811539844953634,0.9876348664400619
monash_australian_electricity,chronos-2,spikes_intensity,30.0,1.0477494998979155,0.0489510198052287,5,0.073,0.6271804180014168,0.0306721340583663,1.6705711304518898,1.5959443745283368
monash_australian_electricity,chronos-t5,spikes_intensity,30.0,1.0661346846602169,0.0521563514704679,5,0.678,1.184876521529985,0.0698047190141327,0.8997854757756181,0.7471751510081761
monash_australian_electricity,chronos-2,spikes_intensity,40.0,1.2458793177173355,0.0687470957773642,5,0.048,0.6271804180014168,0.0306721340583663,1.9864767488874646,2.2413535245556986
monash_australian_electricity,chronos-t5,spikes_intensity,40.0,1.1485093308025436,0.0775621850353463,5,0.703,1.184876521529985,0.0698047190141327,0.9693071893428339,1.111130968375405
monash_australian_electricity,chronos-2,spikes_density,0.01,0.7176738858635604,0.0343145542752458,5,0.049,0.6271804180014168,0.0306721340583663,1.1442861818781134,1.1187534003975173
monash_australian_electricity,chronos-t5,spikes_density,0.01,1.015324848565954,0.0625734555057703,5,0.695,1.184876521529985,0.0698047190141327,0.8569035086077194,0.8964072399331863
monash_australian_electricity,chronos-2,spikes_density,0.02,0.7484683966103354,0.0372048372449102,5,0.08,0.6271804180014168,0.0306721340583663,1.1933861057005204,1.2129849580766945
monash_australian_electricity,chronos-t5,spikes_density,0.02,1.0443024521533617,0.0593436796068321,5,0.734,1.184876521529985,0.0698047190141327,0.8813597308898438,0.8501385070372871
monash_australian_electricity,chronos-2,spikes_density,0.05,1.1593778373085482,0.0558169458776291,5,0.044,0.6271804180014168,0.0306721340583663,1.8485555416462782,1.8197933593865525
monash_australian_electricity,chronos-t5,spikes_density,0.05,1.0584185053012594,0.06781060596636,5,1.05,1.184876521529985,0.0698047190141327,0.8932732534311378,0.9714329765102419
monash_australian_electricity,chronos-2,spikes_density,0.08,1.445431504679915,0.0747031251077862,5,0.058,0.6271804180014168,0.0306721340583663,2.304650246074248,2.4355372523357164
monash_australian_electricity,chronos-t5,spikes_density,0.08,1.027295006655474,0.0673123799730899,5,0.662,1.184876521529985,0.0698047190141327,0.8670059605274041,0.9642955508417964
monash_australian_electricity,chronos-2,spikes_density,0.12,1.757782783354184,0.1001812426363454,5,0.062,0.6271804180014168,0.0306721340583663,2.802674849057888,3.2661973387867156
monash_australian_electricity,chronos-t5,spikes_density,0.12,1.0320396438736834,0.0692149699503378,5,0.676,1.184876521529985,0.0698047190141327,0.8710102910479235,0.9915514441985577
monash_australian_electricity,chronos-2,spikes_density,0.16,1.7314454510000958,0.1179606696424186,5,0.044,0.6271804180014168,0.0306721340583663,2.7606816177672573,3.845857918394269
monash_australian_electricity,chronos-t5,spikes_density,0.16,1.5902648812353313,0.0998837788275248,5,0.648,1.184876521529985,0.0698047190141327,1.342135532554805,1.4309029566797953
monash_australian_electricity,chronos-2,spikes_density,0.2,1.8136780257329213,0.169452040254914,5,0.06,0.6271804180014168,0.0306721340583663,2.8917963215631266,5.524625053231121
monash_australian_electricity,chronos-t5,spikes_density,0.2,2.2463622154668967,0.1975041752806491,5,0.673,1.184876521529985,0.0698047190141327,1.895861868008201,2.8293814239215305
monash_australian_electricity,chronos-2,spikes_density,0.3,1.912589509085884,0.2827673018023516,5,0.041,0.6271804180014168,0.0306721340583663,3.0495045033143295,9.219029274724443
monash_australian_electricity,chronos-t5,spikes_density,0.3,1.5678944604983476,0.1763895430442936,5,0.647,1.184876521529985,0.0698047190141327,1.3232555730564957,2.5268999794782028
monash_australian_electricity,chronos-2,spikes_density,0.4,1.8772238964346573,0.5673883288304669,5,0.054,0.6271804180014168,0.0306721340583663,2.993116243036811,18.49849533621554
monash_australian_electricity,chronos-t5,spikes_density,0.4,8.458636983779762,0.5448424436070763,5,0.621,1.184876521529985,0.0698047190141327,7.138834157045708,7.805237973907857
monash_australian_electricity,chronos-2,drift,0.5,1.5950474073787346,0.1029926793216694,5,0.039,0.6271804180014168,0.0306721340583663,2.543203457246861,3.3578582802775845
monash_australian_electricity,chronos-t5,drift,0.5,1.7300304372325428,0.1085902771628926,5,0.605,1.184876521529985,0.0698047190141327,1.4600934407904562,1.5556294573853575
monash_australian_electricity,chronos-2,drift,1.0,3.5842109518119267,0.2195576134052939,5,0.042,0.6271804180014168,0.0306721340583663,5.714800476764615,7.158211195461509
monash_australian_electricity,chronos-t5,drift,1.0,3.5321977865979988,0.2313229061085049,5,0.649,1.184876521529985,0.0698047190141327,2.9810682568315294,3.3138577072657673
monash_australian_electricity,chronos-2,drift,2.0,6.633017275090386,0.4376344612616467,5,0.039,0.6271804180014168,0.0306721340583663,10.575931717108237,14.268145164887054
monash_australian_electricity,chronos-t5,drift,2.0,6.74628141084909,0.4594718922638304,5,0.573,1.184876521529985,0.0698047190141327,5.693657767931699,6.582246855986993
monash_australian_electricity,chronos-2,drift,4.0,13.073647602874273,0.9014635172806305,5,0.039,0.6271804180014168,0.0306721340583663,20.84511446408829,29.390309639532312
monash_australian_electricity,chronos-t5,drift,4.0,12.926058000417887,0.9063381700629376,5,0.68,1.184876521529985,0.0698047190141327,10.909202575578906,12.983909725063716
monash_australian_electricity,chronos-2,drift,6.0,18.57631405386508,1.337040295197917,5,0.049,0.6271804180014168,0.0306721340583663,29.61877239895445,43.591368394962345
monash_australian_electricity,chronos-t5,drift,6.0,18.69071546929076,1.3611902601346342,5,0.627,1.184876521529985,0.0698047190141327,15.774399382271637,19.4999747776228
monash_australian_electricity,chronos-2,drift,9.0,28.81656826389875,2.049395846272376,5,0.06,0.6271804180014168,0.0306721340583663,45.94621808462402,66.81621312597815
monash_australian_electricity,chronos-t5,drift,9.0,29.57751094574858,2.101966890232956,5,0.791,1.184876521529985,0.0698047190141327,24.96252597490605,30.11210301996045
monash_australian_electricity,chronos-2,drift,12.0,37.55218464050581,2.706486838624376,5,0.044,0.6271804180014168,0.0306721340583663,59.874612731325705,88.23927391143296
monash_australian_electricity,chronos-t5,drift,12.0,37.711153668071695,2.703589875965657,5,0.582,1.184876521529985,0.0698047190141327,31.827074790356,38.73076081601714
monash_australian_electricity,chronos-2,drift,16.0,50.31170078592356,3.625491131299426,5,0.043,0.6271804180014168,0.0306721340583663,80.21886420856002,118.20146339998526
monash_australian_electricity,chronos-t5,drift,16.0,50.49727614816755,3.615765425287827,5,0.637,1.184876521529985,0.0698047190141327,42.61817601294216,51.79829496277719
monash_australian_electricity,chronos-2,drift,20.0,63.72878506920573,4.566473702460057,5,0.042,0.6271804180014168,0.0306721340583663,101.61156700696253,148.88020813193074
monash_australian_electricity,chronos-t5,drift,20.0,63.9418993526243,4.557497951411093,5,0.617,1.184876521529985,0.0698047190141327,53.96503195966665,65.2892528725512
