dataset,family,severity,model,MASE,WQL,MASE_degr,WQL_degr,n,K
monash_australian_electricity,spikes_intensity,20.0,C2-uni,0.9917274912510065,0.04591925535240255,1.581247537050441,1.4971001125980417,5,5
monash_australian_electricity,spikes_intensity,20.0,T5,1.0440586680811526,0.06894157434040905,0.8811539844953634,0.9876348664400622,5,5
monash_australian_electricity,spikes_intensity,20.0,C2-CL,0.952746897052473,0.04561419359772361,1.5430435980054356,1.5805801582546362,5,5
monash_australian_electricity,spikes_density,0.2,C2-uni,1.8136780257329213,0.16945204025491403,2.8917963215631266,5.524625053231105,5,5
monash_australian_electricity,spikes_density,0.2,T5,2.2463622154668967,0.19750417528064912,1.895861868008201,2.829381423921529,5,5
monash_australian_electricity,spikes_density,0.2,C2-CL,1.611960746934947,0.15737543942643348,2.610688860272446,5.45322579080821,5,5
monash_australian_electricity,drift,12.0,C2-uni,37.55218464050581,2.7064868386243757,59.874612731325705,88.23927391143269,5,5
monash_australian_electricity,drift,12.0,T5,37.711153668071695,2.703589875965657,31.827074790356,38.73076081601711,5,5
monash_australian_electricity,drift,12.0,C2-CL,37.480792141941905,2.698737576961079,60.70289658430725,93.51411764722614,5,5
monash_australian_electricity,drift_step,12.0,C2-uni,0.6271804180014168,0.030672134058366392,1.0,1.0,5,5
monash_australian_electricity,drift_step,12.0,T5,1.184876521529985,0.06980471901413274,1.0,1.0,5,5
monash_australian_electricity,drift_step,12.0,C2-CL,0.6174465182215265,0.02885914602907158,1.0,1.0,5,5
monash_australian_electricity,gap,0.4,C2-uni,0.6113300842765245,0.030337863094754693,0.974727632958629,0.9891018028619851,5,5
monash_australian_electricity,gap,0.4,T5,1.184876521529985,0.06980471901413274,1.0,1.0,5,5
monash_australian_electricity,gap,0.4,C2-CL,0.6136383551728689,0.02840540002327643,0.9938324001573019,0.984277219937899,5,5
monash_australian_electricity,gap_boundary,0.4,C2-uni,12.497525893583115,2.865118122008681,19.926524385770737,93.41111109375734,5,5
monash_australian_electricity,gap_boundary,0.4,T5,12.491880482587787,0.9997050642415607,10.54276986302126,14.321453883929529,5,5
monash_australian_electricity,gap_boundary,0.4,C2-CL,12.499547073818771,1.8716151157888135,20.243934826650367,64.85344763505549,5,5
monash_cif_2016,spikes_intensity,20.0,C2-uni,1.0367381302329155,0.35803916965165017,1.2511772724978738,0.8999654837838872,72,10
monash_cif_2016,spikes_intensity,20.0,T5,0.9708436070937868,0.3785782296560659,1.2273512744376551,0.8471056760363753,72,10
monash_cif_2016,spikes_intensity,20.0,C2-CL,1.1077802933044363,0.4555115220720297,1.9454757722738927,2.146949070856631,72,10
monash_cif_2016,spikes_density,0.2,C2-uni,3.6986249509168454,0.5395330275407678,4.463649347054562,1.3561675461948288,72,10
monash_cif_2016,spikes_density,0.2,T5,1.347751009800296,0.35840805284196964,1.7038418004880904,0.801972940111753,72,10
monash_cif_2016,spikes_density,0.2,C2-CL,3.676775854911929,0.4836741130095477,6.45712727428615,2.2796869831078577,72,10
monash_cif_2016,drift,12.0,C2-uni,29.463247808989205,2.455725842888228,35.557432448537604,6.172700317637752,72,10
monash_cif_2016,drift,12.0,T5,29.28947295949461,2.267585558395383,37.02807712980099,5.073943631571062,72,10
monash_cif_2016,drift,12.0,C2-CL,29.461792948822776,2.412114356715497,51.74058857710046,11.368947712658242,72,10
monash_cif_2016,drift_step,12.0,C2-uni,1.0816877767054307,0.32025560858300506,1.305424313706429,0.8049929117904236,72,10
monash_cif_2016,drift_step,12.0,T5,1.2490912836457193,0.25453283450197417,1.5791150785457455,0.5695420178813098,72,10
monash_cif_2016,drift_step,12.0,C2-CL,3.6118878504256453,0.24157703703261874,6.3431714281655225,1.138617949417017,72,10
monash_cif_2016,gap,0.4,C2-uni,0.7823454642593008,0.43420017711388703,0.9441659716934729,1.0914034149826095,72,10
monash_cif_2016,gap,0.4,T5,0.8830389083552098,0.40488776318043324,1.1163475987570712,0.9059758207951173,72,10
monash_cif_2016,gap,0.4,C2-CL,0.7085092037480244,0.303869006719082,1.244278760559288,1.432216859564967,72,10
monash_cif_2016,gap_boundary,0.4,C2-uni,3.0669896430366803,0.6633214039983574,3.701366453543824,1.6673213962438804,72,10
monash_cif_2016,gap_boundary,0.4,T5,3.8066899397739777,0.6069679572068795,4.812459715274457,1.358149944832447,72,10
monash_cif_2016,gap_boundary,0.4,C2-CL,3.007727829123965,0.8074351548651774,5.282149950239769,3.805660387314312,72,10
monash_car_parts,spikes_intensity,20.0,C2-uni,1.920142010896531,1.8953348179056186,1.1398395616951393,1.7461359995957932,100,10
monash_car_parts,spikes_intensity,20.0,T5,1.6704081460660167,1.1898270536402258,0.9822829488898697,1.0934390193876034,100,10
monash_car_parts,spikes_intensity,20.0,C2-CL,1.8541091226036501,1.669402398003472,1.1043210027540749,1.5643424413264277,100,10
monash_car_parts,spikes_density,0.2,C2-uni,2.818170777828214,3.5787182783839677,1.6729296718433488,3.297005235836332,100,10
monash_car_parts,spikes_density,0.2,T5,1.7310273730435062,1.184868356619369,1.0179300649405834,1.088882027015193,100,10
monash_car_parts,spikes_density,0.2,C2-CL,2.4093215367835645,2.9762644835192744,1.4350095919497723,2.7889602014169372,100,10
monash_car_parts,drift,12.0,C2-uni,25.69410249676794,29.97876025883838,15.252598173398397,27.61886291365334,100,10
monash_car_parts,drift,12.0,T5,25.23282758158565,27.84868003021587,14.838155778899095,25.592655075639215,100,10
monash_car_parts,drift,12.0,C2-CL,25.091257272139625,29.585819128787875,14.944537003420466,27.723904422278117,100,10
monash_car_parts,drift_step,12.0,C2-uni,1.9901561199347282,1.786894875102573,1.1814015143557723,1.6462323381774149,100,10
monash_car_parts,drift_step,12.0,T5,1.9132556527352131,1.20957721388626,1.1250893435685405,1.1115892167512462,100,10
monash_car_parts,drift_step,12.0,C2-CL,2.0501213776656866,1.6990038370845293,1.221067340616988,1.592080982695613,100,10
monash_car_parts,gap,0.4,C2-uni,1.6650564663415388,1.0371329746642408,0.988415034941219,0.9554909276822472,100,10
monash_car_parts,gap,0.4,T5,1.6848759769237496,1.041973787952553,0.9907907519632941,0.957563364726562,100,10
monash_car_parts,gap,0.4,C2-CL,1.6691238872397425,1.0570189416932627,0.9941424387627048,0.9904979133576616,100,10
monash_car_parts,gap_boundary,0.4,C2-uni,1.782993452841843,1.3354254205864715,1.0584250874463386,1.2303020973561352,100,10
monash_car_parts,gap_boundary,0.4,T5,1.7718160461699415,1.2171343926255676,1.041915830463997,1.1185341875222201,100,10
monash_car_parts,gap_boundary,0.4,C2-CL,1.766343265749609,1.343754382769376,1.0520470142023535,1.259188326432583,100,10
monash_covid_deaths,spikes_intensity,20.0,C2-uni,66.41296365546826,0.05026769400966094,0.943389928761759,0.9127030937836528,100,10
monash_covid_deaths,spikes_intensity,20.0,T5,87.43057247712329,0.24636679092504654,1.2126941760871128,5.481840478750729,100,10
monash_covid_deaths,spikes_intensity,20.0,C2-CL,63.39588159693853,0.07098079229567715,0.9469183490007418,1.1026271010637743,100,10
monash_covid_deaths,spikes_density,0.2,C2-uni,97.19410329133581,0.36107659306396145,1.380633134454717,6.55601435623845,100,10
monash_covid_deaths,spikes_density,0.2,T5,76.92318252723712,0.06515600353191033,1.0669528154041859,1.4497685189377518,100,10
monash_covid_deaths,spikes_density,0.2,C2-CL,98.42436889594259,0.33016585235532314,1.4701245340972855,5.1288497194609555,100,10
monash_covid_deaths,drift,12.0,C2-uni,779.3906066518294,4.6293815418232755,11.071170572980648,84.05499672841547,100,10
monash_covid_deaths,drift,12.0,T5,773.5419542594811,4.682647921152334,10.7293112273166,104.19232570074914,100,10
monash_covid_deaths,drift,12.0,C2-CL,775.3700810880206,4.671113246075453,11.581385707615048,72.56182821693366,100,10
monash_covid_deaths,drift_step,12.0,C2-uni,78.51493536644394,0.09153525822005587,1.1152973034954288,1.6619921604455163,100,10
monash_covid_deaths,drift_step,12.0,T5,74.81849613225627,0.05263028859705646,1.0377600415109245,1.1710622416129621,100,10
monash_covid_deaths,drift_step,12.0,C2-CL,61.67132243246387,0.10224731451601315,0.9211593142552212,1.5883263112465096,100,10
monash_covid_deaths,gap,0.4,C2-uni,70.93840433350631,0.04496443770173883,1.0076733897591867,0.8164126524827663,100,10
monash_covid_deaths,gap,0.4,T5,71.83843747741903,0.0383512107691052,0.9964255326231471,0.8533423632860596,100,10
monash_covid_deaths,gap,0.4,C2-CL,70.79955671905927,0.0452983565407726,1.0575040155547502,0.7036719926631083,100,10
monash_covid_deaths,gap_boundary,0.4,C2-uni,165.29946467828725,0.7123039111529481,2.3480634144892054,12.933196881849106,100,10
monash_covid_deaths,gap_boundary,0.4,T5,248.56337443351663,0.9102248997525181,3.4476653649151983,20.253166757967076,100,10
monash_covid_deaths,gap_boundary,0.4,C2-CL,155.42596360257525,0.7545605286479996,2.321534035635325,11.721465221387264,100,10
dominick,spikes_intensity,20.0,C2-uni,0.42939175760132553,0.20382587224165005,6.464623239124918,7.479982754334536,100,10
dominick,spikes_intensity,20.0,T5,0.004594424481936329,0.01012314246616944,0.2873597230565839,0.7627179017229506,100,10
dominick,spikes_intensity,20.0,C2-CL,0.3492179545933732,0.17883183259170216,3.2276602884488534,4.492439300980981,100,10
dominick,spikes_density,0.2,C2-uni,1.6472700476629192,1.297408106499075,24.80015054486282,47.61216108248233,100,10
dominick,spikes_density,0.2,T5,0.008612679950438018,0.14870779201690662,0.5386827741022733,11.204237762733618,100,10
dominick,spikes_density,0.2,C2-CL,1.7274223759968925,1.2154182495598747,15.965767312494695,30.532554704165374,100,10
dominick,drift,12.0,C2-uni,36.295938145800676,19.55769990194808,546.446365281743,717.7266378018154,100,10
dominick,drift,12.0,T5,36.262241219522494,19.575926843093757,2268.0332727683376,1474.9283531219785,100,10
dominick,drift,12.0,C2-CL,36.138975990459706,19.45010284353976,334.0158664105148,488.6065593363177,100,10
dominick,drift_step,12.0,C2-uni,0.13364531799450355,0.08142756564717513,2.012070826263201,2.9882211716783895,100,10
dominick,drift_step,12.0,T5,0.004601866428737115,0.013919632475270838,0.2878251819579291,1.0487605908712017,100,10
dominick,drift_step,12.0,C2-CL,0.14942518661220092,0.07618044468404966,1.381067996586371,1.9137310103297134,100,10
dominick,gap,0.4,C2-uni,0.10065728132860241,0.05033199520527003,1.5154259217713708,1.847078842279265,100,10
dominick,gap,0.4,T5,0.0020388857228260107,0.014377888241568403,0.12752274826995944,1.0832874067972822,100,10
dominick,gap,0.4,C2-CL,0.13811105974874965,0.054665055129500234,1.276496746754284,1.3732423276942574,100,10
dominick,gap_boundary,0.4,C2-uni,3.1157379974511756,1.3577650206108869,46.90838123643858,49.82713345912917,100,10
dominick,gap_boundary,0.4,T5,2.0496904997800014,0.8865236568627577,128.19853644003257,66.79422577028879,100,10
dominick,gap_boundary,0.4,C2-CL,3.1520517139271824,1.3010988984407645,29.13295840136901,32.68494060094739,100,10
ercot,spikes_intensity,20.0,C2-uni,1.0610475840550466,0.03444057004803132,1.2604515908299194,1.3224490519418846,8,8
ercot,spikes_intensity,20.0,T5,2.7855010019481647,0.21237396497825065,4.703838789228975,12.926021196542687,8,8
ercot,spikes_intensity,20.0,C2-CL,0.8056633229071247,0.02521799731526202,1.0268334967801775,1.0121838258158322,8,8
ercot,spikes_density,0.2,C2-uni,3.3117982116355265,0.1460447432228265,3.9341886142470286,5.607826233618422,8,8
ercot,spikes_density,0.2,T5,2.838437266250066,0.10017792821545113,4.793231560298167,6.097272910411898,8,8
ercot,spikes_density,0.2,C2-CL,3.3844146953740157,0.13993045094993078,4.313502026709162,5.616438824224848,8,8
ercot,drift,12.0,C2-uni,51.99865908706053,1.787945418228218,61.77083247937334,68.65353041375981,8,8
ercot,drift,12.0,T5,52.098179208565334,1.804535374614335,87.97750783003038,109.83202439416135,8,8
ercot,drift,12.0,C2-CL,51.96437459166066,1.7878710195230818,66.22960106637623,71.76042197097533,8,8
ercot,drift_step,12.0,C2-uni,0.8417995516641943,0.02604302222263971,1.0,1.0,8,8
ercot,drift_step,12.0,T5,0.5921761197102479,0.016429956422712208,1.0,1.0,8,8
ercot,drift_step,12.0,C2-CL,0.7846095062475348,0.024914444068433926,1.0,1.0,8,8
ercot,gap,0.4,C2-uni,0.8748443278697374,0.028161847899182538,1.0392549225527803,1.0813586709879197,8,8
ercot,gap,0.4,T5,0.6276517310144413,0.01896504391089171,1.0599071967332145,1.154296665368819,8,8
ercot,gap,0.4,C2-CL,0.7666907837977964,0.02523787430675688,0.9771622414627166,1.0129816357705823,8,8
ercot,gap_boundary,0.4,C2-uni,28.140456478109286,1.3300150863187679,33.42892785162103,51.06992095420322,8,8
ercot,gap_boundary,0.4,T5,28.133574109917504,0.9998205176315581,47.5087953963481,60.85351000988904,8,8
ercot,gap_boundary,0.4,C2-CL,28.13957137713832,0.9490901950012335,35.864428295953665,38.09397441878748,8,8
exchange_rate,spikes_intensity,20.0,C2-uni,3.0781237812295412,0.012447940315916546,1.6946030909006986,1.0521209914589482,8,8
exchange_rate,spikes_intensity,20.0,T5,2.4578010358700535,0.06294960548496888,1.2317401622395687,4.886595821568218,8,8
exchange_rate,spikes_intensity,20.0,C2-CL,4.3908007638473,0.015594949791119642,2.3745365835207526,1.3226149278848915,8,8
exchange_rate,spikes_density,0.2,C2-uni,12.38744810021108,0.06591092503899923,6.819676312888435,5.5709029799362675,8,8
exchange_rate,spikes_density,0.2,T5,21.733060888708906,0.44055211392745697,10.891639947390788,34.19878651368201,8,8
exchange_rate,spikes_density,0.2,C2-CL,10.262360895434846,0.0688527693370881,5.549864976827333,5.839435315354726,8,8
exchange_rate,drift,12.0,C2-uni,400.0366319823814,1.915267448670454,220.23263559598104,161.88164755478556,8,8
exchange_rate,drift,12.0,T5,400.68280332676346,1.9226236340544405,200.8043344328734,149.2477124239022,8,8
exchange_rate,drift,12.0,C2-CL,398.04223880806575,1.910818026750655,215.26047494992335,162.0573634735968,8,8
exchange_rate,drift_step,12.0,C2-uni,3.116098156927048,0.011398677724924408,1.7155091684354735,0.9634355407323033,8,8
exchange_rate,drift_step,12.0,T5,1.9953892153692887,0.012882097841430835,1.0,1.0,8,8
exchange_rate,drift_step,12.0,C2-CL,2.6278263230046446,0.011581649573321478,1.421123406575584,0.9822450742309771,8,8
exchange_rate,gap,0.4,C2-uni,1.7506313037142178,0.012427472179305822,0.9637771022699515,1.0503909898974324,8,8
exchange_rate,gap,0.4,T5,2.0226963843198544,0.013403613712388702,1.0136851340782214,1.0404837688222326,8,8
exchange_rate,gap,0.4,C2-CL,1.7285613261846215,0.012260912758726863,0.9348026309187545,1.039853700165213,8,8
exchange_rate,gap_boundary,0.4,C2-uni,15.152596815456691,0.19759217413394672,8.341976874103546,16.700825106665857,8,8
exchange_rate,gap_boundary,0.4,T5,1417.5006497958907,0.46416901353823065,710.3880480448283,36.032098129653285,8,8
exchange_rate,gap_boundary,0.4,C2-CL,17.232091693614272,0.1935266053393047,9.31908194832732,16.413081195709037,8,8
monash_fred_md,spikes_intensity,20.0,C2-uni,0.6304448238877186,0.006679712795639328,1.112112775970926,1.3051450257897719,100,10
monash_fred_md,spikes_intensity,20.0,T5,0.6369701459548209,0.007251308413515439,1.1141274082994828,0.9738338982857221,100,10
monash_fred_md,spikes_intensity,20.0,C2-CL,1.5288668688532796,0.026770910560176355,2.9128079935357385,6.853682870471702,100,10
monash_fred_md,spikes_density,0.2,C2-uni,3.238870579270724,0.1284577465983941,5.713409349150015,25.099281080843294,100,10
monash_fred_md,spikes_density,0.2,T5,0.6346088125331385,0.031190172823123388,1.1099971891645084,4.188767854906653,100,10
monash_fred_md,spikes_density,0.2,C2-CL,6.804327794673261,0.22678707465028142,12.963653536313052,58.0602846989894,100,10
monash_fred_md,drift,12.0,C2-uni,152.17931128442063,3.6776949860526025,268.4462619174461,718.5825894418757,100,10
monash_fred_md,drift,12.0,T5,152.5483971374521,3.6880087580394414,266.8231021851447,495.29102072935666,100,10
monash_fred_md,drift,12.0,C2-CL,151.74572656379877,3.6632754995646386,289.1070336630726,937.843652525334,100,10
monash_fred_md,drift_step,12.0,C2-uni,0.686641203584585,0.005312835273414227,1.2112439123625365,1.0380716569825743,100,10
monash_fred_md,drift_step,12.0,T5,0.6997934890537371,0.004490479511433498,1.2240120063014575,0.6030609813314263,100,10
monash_fred_md,drift_step,12.0,C2-CL,0.7540458570699111,0.005741750640747067,1.4366135107716331,1.4699588915569877,100,10
monash_fred_md,gap,0.4,C2-uni,0.9681131398095216,0.005974727785936462,1.7077640271962111,1.1673984329616016,100,10
monash_fred_md,gap,0.4,T5,0.4917569526521818,0.005760056552988204,0.8601343448370762,0.7735622328361719,100,10
monash_fred_md,gap,0.4,C2-CL,1.1136818242912507,0.006612265809096258,2.121794504242298,1.6928214977574596,100,10
monash_fred_md,gap_boundary,0.4,C2-uni,16.53069514549273,0.11451834561775631,29.160358798119336,22.375669990221965,100,10
monash_fred_md,gap_boundary,0.4,T5,27.79415708102492,0.45385543281852037,48.61488782670104,60.95173176967952,100,10
monash_fred_md,gap_boundary,0.4,C2-CL,13.136408869840563,0.08982492575472632,25.027579275836494,22.99628746667871,100,10
monash_hospital,spikes_intensity,20.0,C2-uni,0.6184147304158593,0.10096131511743969,1.0492661143909492,1.1820763960547094,100,10
monash_hospital,spikes_intensity,20.0,T5,0.6551922138527059,0.09028611729187988,0.9244316574293848,0.8271570464284348,100,10
monash_hospital,spikes_intensity,20.0,C2-CL,0.677543207884785,0.12131023059787754,1.1360823039111339,1.4464860678769615,100,10
monash_hospital,spikes_density,0.2,C2-uni,0.892837321271139,0.2178857512534472,1.5148797413726138,2.551052383715019,100,10
monash_hospital,spikes_density,0.2,T5,0.6684951649550512,0.11203041273635266,0.9432012167682079,1.0263675976848567,100,10
monash_hospital,spikes_density,0.2,C2-CL,0.9102844234991404,0.22530948477262175,1.5263351665672347,2.686558496162284,100,10
monash_hospital,drift,12.0,C2-uni,13.002640791211494,2.2010254356584635,22.061619345065104,25.77007056199173,100,10
monash_hospital,drift,12.0,T5,12.06131583965135,2.0459176241116097,17.017696420511488,18.74369205317727,100,10
monash_hospital,drift,12.0,C2-CL,12.661689300954503,2.111502968605893,21.23070674318005,25.177263379323815,100,10
monash_hospital,drift_step,12.0,C2-uni,0.9237465088682448,0.15297566903609047,1.5673234519989552,1.791071434914422,100,10
monash_hospital,drift_step,12.0,T5,0.6381978300078458,0.08745106570287026,0.9004537375265897,0.801183696713369,100,10
monash_hospital,drift_step,12.0,C2-CL,1.7768687073351264,0.2490683794148911,2.9793953673876397,2.969856202537269,100,10
monash_hospital,gap,0.4,C2-uni,0.6708665003209013,0.10305554417868064,1.1382611885609681,1.206596072114249,100,10
monash_hospital,gap,0.4,T5,0.6317094734404116,0.09495721074320912,0.8912991076503342,0.8699513095852157,100,10
monash_hospital,gap,0.4,C2-CL,0.6531418235724648,0.09568740595116741,1.0951668603120361,1.1409631232048154,100,10
monash_hospital,gap_boundary,0.4,C2-uni,0.9881998962180709,0.1657337368521249,1.676681706221666,1.9404455868562531,100,10
monash_hospital,gap_boundary,0.4,T5,1.0026546237739375,0.1591559598564054,1.414677488662817,1.4581087062445517,100,10
monash_hospital,gap_boundary,0.4,C2-CL,0.9554085309451652,0.15723940888791807,1.6019977949466941,1.8749005187495025,100,10
