seed,dataset,model,family,severity,MASE,WQL,n_series
0,monash_covid_deaths,chronos-2,regime_trend,2.0,172.5624775553034,0.9180821745343172,100
0,monash_covid_deaths,chronos-t5,regime_trend,2.0,171.3906333846764,0.9036223582153953,100
0,monash_covid_deaths,chronos-2,regime_trend,4.0,319.4122131834259,1.823355386082712,100
0,monash_covid_deaths,chronos-t5,regime_trend,4.0,305.508396227193,1.6898782235485228,100
0,monash_covid_deaths,chronos-2,regime_trend,8.0,612.9131613840212,3.7593344373523556,100
0,monash_covid_deaths,chronos-t5,regime_trend,8.0,534.8817549228388,3.430000957710761,100
0,monash_covid_deaths,chronos-2,regime_trend,12.0,908.086527688487,5.623744112854892,100
0,monash_covid_deaths,chronos-t5,regime_trend,12.0,769.3559871971407,3.6701107269287983,100
0,monash_covid_deaths,chronos-2,regime_trend,16.0,1238.633047909274,7.551283709057884,100
0,monash_covid_deaths,chronos-t5,regime_trend,16.0,1035.800656101906,5.0113895289489285,100
0,monash_covid_deaths,chronos-2,regime_trend,20.0,1506.6352344741408,9.47319386289811,100
0,monash_covid_deaths,chronos-t5,regime_trend,20.0,1188.0138227730758,7.140527673480376,100
0,dominick,chronos-2,clean,0.0,0.8295138231556268,0.24857655709519688,100
0,dominick,chronos-t5,clean,0.0,0.7698056257095454,0.2595823699292185,100
0,dominick,chronos-2,regime_trend,0.5,1.81805135227805,0.5026729427514512,100
0,dominick,chronos-t5,regime_trend,0.5,1.8019381358442939,0.5299863005670802,100
0,dominick,chronos-2,regime_trend,1.0,2.790628815581589,0.7824392660617323,100
0,dominick,chronos-t5,regime_trend,1.0,2.755144917640698,0.8251187143547104,100
0,dominick,chronos-2,regime_trend,2.0,5.1400933701519715,1.458632255594615,100
0,dominick,chronos-t5,regime_trend,2.0,5.139842475872675,1.5134660756835194,100
0,dominick,chronos-2,regime_trend,4.0,10.079623438930023,2.8673433400732034,100
0,dominick,chronos-t5,regime_trend,4.0,9.74344460154416,2.9130371506721326,100
0,dominick,chronos-2,regime_trend,8.0,19.58275058703262,5.766407601237938,100
0,dominick,chronos-t5,regime_trend,8.0,19.115854379410752,5.7650066845264325,100
0,dominick,chronos-2,regime_trend,12.0,29.65492672205494,8.856473244827832,100
0,dominick,chronos-t5,regime_trend,12.0,28.69247372533853,8.649784872836738,100
