dataset,w_c2,w_t5,ratio_t5_over_c2
dominick,4.3549805,0.0,0.0
dominick,0.5112152,0.0022326605,0.0043673594
dominick,8.1015625,5.0703225,0.625845
dominick,13.237671,0.0,0.0
dominick,6.359375,4.692995,0.7379648
dominick,26.723022,24.14295,0.9034513
dominick,12.0,5.5806227,0.4650519
dominick,0.14089966,0.0,0.0
dominick,0.16625977,0.0,0.0
dominick,13.140625,8.681206,0.66063875
dominick,0.16195679,0.0,0.0
dominick,33.640137,34.940617,1.0386586
dominick,1.2233887,0.0,0.0
dominick,32.433044,24.865341,0.7666669
dominick,0.37350464,0.0,0.0
dominick,7.59375,0.48791242,0.06425184
dominick,3.6241455,1.3013049,0.35906532
dominick,0.16696167,0.0,0.0
dominick,0.17327881,0.0,0.0
dominick,60.7135,52.91742,0.8715923
dominick,10.7890625,2.3255098,0.21554327
dominick,0.32028198,0.0,0.0
dominick,22.064453,7.1046734,0.32199636
dominick,16.93872,0.33419895,0.01972988
dominick,0.47277832,0.0,0.0
dominick,30.601562,34.271843,1.1199377
dominick,0.66174316,0.0,0.0
dominick,13.828125,3.1190295,0.22555694
dominick,12.147217,1.9965106,0.16435951
dominick,4.1606445,0.5727629,0.13766207
dominick,38.338867,37.0383,0.966077
dominick,5.90625,2.718586,0.4602897
dominick,19.34375,10.070859,0.520626
dominick,28.725342,26.70892,0.9298034
dominick,28.891113,7.2797728,0.25197273
dominick,0.76916504,0.0,0.0
dominick,0.49438477,0.0,0.0
dominick,5.796875,4.4561768,0.7687205
dominick,30.220947,15.346201,0.5078001
dominick,8.351379,0.0,0.0
dominick,0.319458,0.0,0.0
dominick,2.9160156,4.3130364,1.4790854
dominick,34.890625,12.65602,0.3627341
dominick,0.22961426,0.0,0.0
dominick,50.14673,42.728325,0.85206604
dominick,0.29730225,5.0929775,17.13064
dominick,0.111709595,0.0,0.0
dominick,45.82422,47.729424,1.0415764
dominick,43.751953,42.46206,0.970518
dominick,7.2471313,4.102155,0.5660385
dominick,0.20043945,0.0,0.0
dominick,2.78125,3.1799474,1.1433519
ercot,1312.0,613.96643,0.4679622
ercot,210.33333,133.65077,0.63542366
ercot,192.0,162.30815,0.845355
ercot,98.5,44.712128,0.45393023
ercot,1858.6666,1165.0063,0.62679684
ercot,234.0,199.80792,0.85388
ercot,910.6667,644.57275,0.70780313
ercot,124.666664,106.74091,0.85621053
exchange_rate,0.033984374,0.026916739,0.7920328
exchange_rate,0.055989582,0.059050523,1.0546699
exchange_rate,0.029296875,0.021510491,0.73422474
exchange_rate,0.037239585,0.03248959,0.8724477
exchange_rate,0.0024088542,0.0021801617,0.90506166
exchange_rate,0.0005106608,0.0006522223,1.2772124
exchange_rate,0.03294271,0.027714832,0.841304
exchange_rate,0.020052083,0.019717144,0.9832966
monash_fred_md,581.3333,267.0363,0.45935142
monash_fred_md,480.0,246.73193,0.51402485
monash_fred_md,3.2916667,0.7547391,0.22928782
monash_fred_md,21333.334,8605.503,0.40338293
monash_fred_md,4.1666665,4.093554,0.982453
monash_fred_md,3.2916667,2.8993542,0.88081646
monash_fred_md,3.4583333,2.9625003,0.85662663
monash_fred_md,3.7083333,4.0709305,1.097779
monash_fred_md,10.208333,6.624429,0.6489237
monash_fred_md,3.7083333,3.1701813,0.85488033
monash_fred_md,5.375,6.3208547,1.1759729
monash_fred_md,8.041667,3.3807259,0.42040113
monash_fred_md,5.5833335,5.53007,0.9904602
monash_fred_md,6.4166665,5.603969,0.87334585
monash_fred_md,3.9583333,3.36921,0.8511689
monash_fred_md,6.125,5.4943748,0.8970408
monash_fred_md,2.6666667,2.741515,1.0280681
monash_fred_md,2218.6667,335.66147,0.15128972
monash_fred_md,2560.0,2387.0715,0.9324498
monash_fred_md,0.6953125,0.48466447,0.6970455
monash_fred_md,5.3958335,5.8407474,1.082455
monash_fred_md,372.66666,364.10315,0.977021
monash_fred_md,426.66666,234.69554,0.55006766
monash_fred_md,861.3333,417.41666,0.48461688
monash_fred_md,345.66666,186.3084,0.5389828
monash_fred_md,701.3333,349.78012,0.49873593
monash_fred_md,42325.332,29178.225,0.6893797
monash_fred_md,3072.0,1414.1342,0.46033013
monash_fred_md,341.33334,736.22284,2.1569028
monash_fred_md,232.0,198.08781,0.85382676
monash_fred_md,165.33333,369.23038,2.2332482
monash_fred_md,146.66667,451.42685,3.0779102
monash_fred_md,77.333336,72.5686,0.9383871
monash_fred_md,2816.0,1408.4199,0.50014913
monash_fred_md,554.6667,178.66081,0.3221048
monash_fred_md,181.33333,71.161705,0.39243588
monash_fred_md,266.66666,182.67595,0.6850348
monash_fred_md,208.0,82.59985,0.3971147
monash_fred_md,234.66667,168.99626,0.7201545
monash_fred_md,0.625,0.69050217,1.1048034
monash_fred_md,0.421875,0.56844056,1.3474146
monash_fred_md,0.6458333,0.74932927,1.1602519
monash_fred_md,312.0,253.12474,0.81129724
monash_fred_md,85.166664,64.51763,0.7575456
monash_fred_md,190.66667,137.32092,0.7202146
monash_fred_md,151.08333,99.71468,0.65999794
monash_fred_md,29098.666,22999.564,0.79039925
monash_fred_md,77824.0,49127.105,0.6312591
monash_fred_md,288.0,90.424644,0.31397447
monash_fred_md,794.6667,116.899086,0.14710455
monash_fred_md,240.0,116.50948,0.48545617
monash_fred_md,512.0,422.76917,0.825721
monash_fred_md,697.0,225.83553,0.3240108
monash_fred_md,642730.7,224345.38,0.34905034
monash_fred_md,172.0,120.30023,0.69942
monash_fred_md,234.66667,30.751465,0.13104317
monash_fred_md,413.33334,311.12125,0.75271267
monash_fred_md,0.89713544,1.5480715,1.7255716
monash_fred_md,1.1790365,0.8680933,0.73627347
monash_fred_md,0.93619794,0.792602,0.846618
monash_fred_md,0.9967448,1.6274923,1.6328074
monash_fred_md,1.1621094,1.526327,1.3134108
monash_fred_md,1.0429688,0.9268748,0.888689
monash_fred_md,1.0013021,1.0402068,1.0388541
monash_fred_md,0.765625,0.74355286,0.9711711
monash_fred_md,0.9192708,0.6914721,0.7521963
monash_fred_md,0.40492758,0.34247968,0.8457801
monash_fred_md,0.38485208,0.19189657,0.49862424
monash_fred_md,0.5458476,0.3243288,0.5941747
monash_fred_md,0.7145386,0.36245263,0.5072541
monash_fred_md,0.7516276,0.9059842,1.2053632
monash_fred_md,1.4485677,1.1461323,0.7912176
monash_fred_md,1.3964844,1.4820176,1.061249
monash_fred_md,0.091796875,0.08872894,0.96657914
monash_fred_md,16.125,17.244118,1.0694027
monash_fred_md,0.20572917,0.17682238,0.85949105
monash_fred_md,0.16796875,0.09239191,0.55005413
monash_fred_md,7.9166665,4.916101,0.6209812
monash_fred_md,10.833333,6.876513,0.6347551
monash_fred_md,12.416667,7.9407525,0.6395237
monash_fred_md,42.083332,37.94443,0.9016499
monash_fred_md,36.541668,17.239216,0.4717687
monash_fred_md,50.083332,56.201275,1.1221553
monash_fred_md,5.1666665,0.89165115,0.17257765
monash_fred_md,4.875,3.8561287,0.7910008
monash_fred_md,12.5,1.5512848,0.124102786
monash_fred_md,7.5,3.6759999,0.49013332
monash_fred_md,2.1666667,1.7194036,0.7935709
monash_fred_md,6.1666665,1.1590551,0.18795489
monash_fred_md,6.0833335,1.3852144,0.22770648
monash_fred_md,6.5,1.5243582,0.23451664
monash_fred_md,6.0,1.7906431,0.29844052
monash_fred_md,2.5416667,0.36411667,0.14325902
monash_fred_md,1.75,1.5621592,0.8926624
monash_fred_md,4.1666665,1.9410229,0.4658455
monash_fred_md,2.7083333,0.38321114,0.14149335
monash_fred_md,0.5729167,0.10895077,0.19016862
monash_fred_md,0.7916667,0.14373589,0.18156111
monash_fred_md,0.47916666,0.07426485,0.15498751
monash_fred_md,210.66667,152.84114,0.7255117
monash_hospital,17.039062,17.219421,1.0105851
monash_hospital,17.90625,12.872617,0.7188896
monash_hospital,11.2682295,8.136371,0.72206295
monash_hospital,427.33334,404.60068,0.94680345
monash_hospital,9.2109375,9.711824,1.0543796
monash_hospital,18.567709,13.437951,0.7237269
monash_hospital,85.333336,86.17921,1.0099125
monash_hospital,22.25,17.688314,0.7949804
monash_hospital,11.0703125,9.285218,0.8387494
monash_hospital,15.4869795,13.126018,0.8475518
monash_hospital,13.1875,11.373282,0.862429
monash_hospital,14.2682295,13.76453,0.96469784
monash_hospital,17.416666,16.483486,0.9464203
monash_hospital,10.6328125,8.83598,0.83101064
monash_hospital,29.125,26.29634,0.90287864
monash_hospital,32.354168,20.22452,0.6250978
monash_hospital,19.916666,16.801844,0.84360725
monash_hospital,520.0,326.29602,0.62749237
monash_hospital,13.96875,13.857388,0.99202776
monash_hospital,14.927083,14.095103,0.94426376
monash_hospital,15.3125,11.501058,0.75108945
monash_hospital,284.0,250.076,0.8805493
monash_hospital,67.916664,50.263905,0.7400821
monash_hospital,31.739584,16.3203,0.51419383
monash_hospital,11.837891,6.1730943,0.5214691
monash_hospital,26.010416,16.317654,0.62735075
monash_hospital,8.692708,8.595828,0.988855
monash_hospital,32.395832,21.929085,0.6769107
monash_hospital,97.833336,94.80612,0.96905744
monash_hospital,27.729166,20.07213,0.7238635
monash_hospital,22.90625,17.962593,0.7841787
monash_hospital,13.640625,9.299137,0.68172365
monash_hospital,28.875,22.446474,0.77736706
monash_hospital,18.78125,14.72532,0.78404367
monash_hospital,30.770834,18.617334,0.60503185
monash_hospital,13.854167,13.297191,0.9597972
monash_hospital,29.645834,18.576897,0.62662756
monash_hospital,11.322917,11.359834,1.0032604
monash_hospital,14.791667,15.018726,1.0153505
monash_hospital,14.895833,13.550048,0.9096536
monash_hospital,14.302083,13.0661745,0.9135854
monash_hospital,77.333336,52.564953,0.6797192
monash_hospital,8.7057295,8.076192,0.927687
monash_hospital,69.166664,55.683624,0.8050645
monash_hospital,10.322917,10.190276,0.98715085
monash_hospital,16.333334,13.953171,0.8542757
monash_hospital,19.322916,15.99023,0.82752675
monash_hospital,402.66666,285.61667,0.7093129
monash_hospital,109.416664,51.83725,0.4737601
monash_hospital,20.28125,13.415067,0.6614517
monash_hospital,12.1276045,10.081842,0.8313136
monash_hospital,16.020834,13.30592,0.8305385
monash_hospital,112.5,63.880848,0.5678298
monash_hospital,28.4375,22.263428,0.7828898
monash_hospital,18.927084,15.155576,0.8007349
monash_hospital,75.666664,70.525856,0.9320598
monash_hospital,11.270833,9.65786,0.8568896
monash_hospital,63.166668,53.100445,0.84064025
monash_hospital,17.5,16.098803,0.9199316
monash_hospital,19.5625,18.956116,0.9690027
monash_hospital,175.83333,149.08366,0.8478692
monash_hospital,33.46875,26.99497,0.80657244
monash_hospital,18.03125,15.999932,0.8873446
monash_hospital,102.5,103.62275,1.0109537
monash_hospital,9.65625,9.281842,0.9612264
monash_hospital,47.583332,49.438473,1.0389872
monash_hospital,10.2682295,8.658187,0.8432015
monash_hospital,161.66667,115.80505,0.7163199
monash_hospital,30.166666,20.54999,0.68121517
monash_hospital,20.838541,17.030575,0.8172633
monash_hospital,18.520834,17.477795,0.9436829
monash_hospital,20.479166,18.73598,0.91488
monash_hospital,118.0,131.34813,1.1131197
monash_hospital,23.229166,19.938251,0.85832834
monash_hospital,72.666664,34.599644,0.4761419
monash_hospital,36.958332,19.99012,0.54088265
monash_hospital,11.2265625,11.772857,1.0486609
monash_hospital,11.432292,9.921179,0.8678206
monash_hospital,27.229166,20.597532,0.7564511
monash_hospital,26.875,22.910795,0.8524947
monash_hospital,23.138021,19.376295,0.8374223
monash_hospital,174.66667,95.91396,0.54912573
monash_hospital,47.541668,27.810852,0.58497846
monash_hospital,19.40625,21.325403,1.0988935
monash_hospital,8.8411455,7.490314,0.8472108
monash_hospital,36.916668,26.783104,0.72550166
monash_hospital,15.7994795,15.127964,0.9574976
monash_hospital,32.770832,25.551535,0.77970356
monash_hospital,49.916668,20.816092,0.41701683
monash_hospital,50.916668,46.165752,0.9066923
monash_hospital,41.833332,34.724167,0.83005977
monash_hospital,326.66666,294.5705,0.90174645
monash_hospital,26.760416,22.85923,0.85421807
monash_hospital,39.583332,29.25512,0.73907673
monash_hospital,121.333336,147.80537,1.2181761
monash_hospital,49.375,30.959356,0.62702495
monash_hospital,32.416668,24.829504,0.76594865
monash_hospital,44.166668,31.240469,0.70733136
monash_hospital,243.33333,243.50307,1.0006976
monash_hospital,32.8125,25.236689,0.76911813
monash_m1_monthly,1505507.5,521624.88,0.34647778
monash_m1_monthly,88751.11,42511.82,0.47900045
monash_m1_monthly,12.743055,5.8846803,0.4617951
monash_m1_monthly,5305.778,2351.0505,0.4431114
monash_m1_monthly,1085.1111,262.21707,0.24164999
monash_m1_monthly,1861.7778,889.7618,0.47790974
monash_m1_monthly,315.1111,246.22195,0.78138137
monash_m1_monthly,3843.5557,2511.1592,0.6533427
monash_m1_monthly,11605.333,10081.705,0.86871314
monash_m1_monthly,311.58334,234.9247,0.7539707
monash_m1_monthly,260.1111,378.38104,1.45469
monash_m1_monthly,1254.2222,1718.0056,1.3697778
monash_m1_monthly,42.27778,38.547382,0.9117646
monash_m1_monthly,2008.8889,3055.894,1.5211862
