decode_seed,dataset,model,family,severity,MASE,WQL,n_series,ctx_digest
0,m4_yearly,chronos-t5,spikes_intensity,6.0,5.280644034374426,0.1593643635060655,100,c6848105cc95cfe6
0,m4_yearly,chronos-t5,spikes_intensity,8.0,6.943708382934076,0.2050835698897075,100,7492372daa9025d6
0,m4_yearly,chronos-t5,spikes_intensity,12.0,5.840080477651927,0.2376724318808517,100,d6aeab8173e39d16
0,m4_yearly,chronos-t5,spikes_intensity,16.0,7.04567840308351,0.1831098068430456,100,8f71a682b675a88c
0,m4_yearly,chronos-t5,spikes_intensity,20.0,3.996832420071746,0.1702361371412103,100,8fac836905de283d
0,m4_yearly,chronos-t5,spikes_intensity,30.0,3.899673539721357,0.1896194718161375,100,b3b7fbb20389e4d3
0,m4_yearly,chronos-t5,spikes_intensity,40.0,5.950707405573579,0.2637025196771269,100,2d11cd7751ba229d
0,m5,chronos-t5,clean,0.0,0.9247766879614568,0.5681063337717701,100,dc3b120d18c4ec13
0,m5,chronos-t5,spikes_intensity,1.0,0.942208455630108,0.604934595622568,100,6c4f1cabc63fa325
0,m5,chronos-t5,spikes_intensity,2.0,0.9176643084669937,0.5727899165843322,100,e2b895b574fa4447
0,m5,chronos-t5,spikes_intensity,4.0,0.925171521571348,0.5781927104339855,100,69bcd813d4681f45
0,m5,chronos-t5,spikes_intensity,6.0,0.9354066952630136,0.6289873609785768,100,2b90fe15a5e358dd
0,m5,chronos-t5,spikes_intensity,8.0,0.9106898614916716,0.5646699448534602,100,97daf664fd5fd941
0,m5,chronos-t5,spikes_intensity,12.0,0.9171183729243522,0.571581456344089,100,c182cf645a721e84
0,m5,chronos-t5,spikes_intensity,16.0,0.9370822739925412,0.5868551209564852,100,ae0da24ac2847bcd
0,m5,chronos-t5,spikes_intensity,20.0,0.9244855220909304,0.5747553551369777,100,d06028d60796234f
0,m5,chronos-t5,spikes_intensity,30.0,0.919669293846272,0.5794604412238494,100,0b14459894c675f3
0,m5,chronos-t5,spikes_intensity,40.0,0.9135972095394648,0.584811874855596,100,5a22e04f4be9e73b
0,monash_australian_electricity,chronos-t5,clean,0.0,1.184876521529985,0.0698047190141327,5,38c44bb4fa034e9e
0,monash_australian_electricity,chronos-t5,spikes_intensity,1.0,1.1905565189642375,0.0647085366864044,5,1a5a866b8da59a08
0,monash_australian_electricity,chronos-t5,spikes_intensity,2.0,1.0919066437571323,0.059752562444376,5,f85739575f232240
0,monash_australian_electricity,chronos-t5,spikes_intensity,4.0,1.145177796689641,0.0731076867771791,5,0a141776da56cd12
0,monash_australian_electricity,chronos-t5,spikes_intensity,6.0,1.472139750099206,0.1780754572634478,5,72e39e3b422f68ea
0,monash_australian_electricity,chronos-t5,spikes_intensity,8.0,4.8029290244626734,0.3617322353591504,5,8a8db42b5d194a33
0,monash_australian_electricity,chronos-t5,spikes_intensity,12.0,1.3156013383525722,0.1110561107112698,5,dc05f616208a700e
0,monash_australian_electricity,chronos-t5,spikes_intensity,16.0,1.3522001978130949,0.1017151984536523,5,4c8979ecadc87426
