seed,dataset,model,family,severity,MASE,WQL,n_series
0,monash_covid_deaths,chronos-t5,regime_trend,0.02,51.27603368552495,0.04308698035148715,100
0,monash_covid_deaths,chronos-2,regime_trend,0.04,43.60804670158463,0.04239494898391076,100
0,monash_covid_deaths,chronos-t5,regime_trend,0.04,51.82797375275232,0.05920837968342569,100
0,monash_covid_deaths,chronos-2,regime_trend,0.06,44.172504769109715,0.047631605047142526,100
0,monash_covid_deaths,chronos-t5,regime_trend,0.06,53.16422369838997,0.06615958418429209,100
0,monash_covid_deaths,chronos-2,regime_trend,0.09,46.63726165068,0.05826452937391438,100
0,monash_covid_deaths,chronos-t5,regime_trend,0.09,54.10525926579741,0.054381363657122275,100
0,monash_covid_deaths,chronos-2,regime_trend,0.13,48.03430053425052,0.08102603903099365,100
0,monash_covid_deaths,chronos-t5,regime_trend,0.13,55.319482428390124,0.09588203876002124,100
0,monash_covid_deaths,chronos-2,regime_trend,0.18,51.06203968613267,0.10107567495406039,100
0,monash_covid_deaths,chronos-t5,regime_trend,0.18,58.78166411910049,0.1125943561077862,100
0,monash_covid_deaths,chronos-2,regime_trend,0.25,55.32673845152666,0.1321830090829475,100
0,monash_covid_deaths,chronos-t5,regime_trend,0.25,63.85694067303647,0.15353078653905594,100
0,dominick,chronos-2,clean,0.0,0.8295138231556268,0.24857655709519688,100
0,dominick,chronos-t5,clean,0.0,0.7698056257095454,0.2595823699292185,100
0,dominick,chronos-2,regime_trend,0.01,0.8315396364924312,0.249045681533852,100
0,dominick,chronos-t5,regime_trend,0.01,0.8545904560130279,0.2793930699540445,100
0,dominick,chronos-2,regime_trend,0.02,0.8366699729239931,0.25019480228091073,100
0,dominick,chronos-t5,regime_trend,0.02,0.8825853605454519,0.28353236376168867,100
0,dominick,chronos-2,regime_trend,0.04,0.8642666957691856,0.2558308275864237,100
0,dominick,chronos-t5,regime_trend,0.04,0.8583431419143605,0.27714251081845426,100
0,dominick,chronos-2,regime_trend,0.06,0.908108317436083,0.2665770049276012,100
0,dominick,chronos-t5,regime_trend,0.06,0.9284870490983508,0.31128281029910343,100
0,dominick,chronos-2,regime_trend,0.09,0.9757788760278346,0.28432488334700007,100
0,dominick,chronos-t5,regime_trend,0.09,0.8897293007918041,0.30798822988305274,100
0,dominick,chronos-2,regime_trend,0.13,1.0157471370154163,0.2971306932616009,100
0,dominick,chronos-t5,regime_trend,0.13,1.063267913204919,0.35765582600997753,100
0,dominick,chronos-2,regime_trend,0.18,1.1499750924186822,0.32733755846991286,100
0,dominick,chronos-t5,regime_trend,0.18,1.1326084618463081,0.35520136121719603,100
0,dominick,chronos-2,regime_trend,0.25,1.3063880795126173,0.3662472946626669,100
0,dominick,chronos-t5,regime_trend,0.25,1.2337594711331608,0.3936456838207451,100
0,ercot,chronos-2,clean,0.0,0.8417995516641943,0.02604302222263971,8
0,ercot,chronos-t5,clean,0.0,0.5921761197102479,0.016429956422712208,8
0,ercot,chronos-2,regime_trend,0.01,0.8342194862060467,0.025844427876872765,8
0,ercot,chronos-t5,regime_trend,0.01,0.5786394789531323,0.01682571964062836,8
0,ercot,chronos-2,regime_trend,0.02,0.8521271249931931,0.02584313409598842,8
0,ercot,chronos-t5,regime_trend,0.02,0.5733152672299624,0.01611773713075136,8
0,ercot,chronos-2,regime_trend,0.04,0.8298497460608535,0.02779881450628215,8
0,ercot,chronos-t5,regime_trend,0.04,0.5416972558371793,0.015765259304498392,8
0,ercot,chronos-2,regime_trend,0.06,0.994636054693636,0.028315529930643304,8
0,ercot,chronos-t5,regime_trend,0.06,0.6722169430846529,0.017756175330260502,8
0,ercot,chronos-2,regime_trend,0.09,0.9951785690510929,0.03016295765399852,8
0,ercot,chronos-t5,regime_trend,0.09,0.7567746842427937,0.01986325640704051,8
0,ercot,chronos-2,regime_trend,0.13,0.8947607339174413,0.022486042200692332,8
0,ercot,chronos-t5,regime_trend,0.13,0.850922173180597,0.024280492184241595,8
0,ercot,chronos-2,regime_trend,0.18,0.9078899187746238,0.028444230669444973,8
0,ercot,chronos-t5,regime_trend,0.18,0.7807266584563948,0.025983717566033095,8
0,ercot,chronos-2,regime_trend,0.25,1.60227196797143,0.04399118674425463,8
0,ercot,chronos-t5,regime_trend,0.25,1.3809283066262987,0.035897456451084185,8
0,exchange_rate,chronos-2,clean,0.0,1.816427573959804,0.011831282159531213,8
0,exchange_rate,chronos-t5,clean,0.0,1.9953892153692887,0.012882097841430835,8
0,exchange_rate,chronos-2,regime_trend,0.01,1.7669757877413141,0.012145282211414789,8
0,exchange_rate,chronos-t5,regime_trend,0.01,1.9156934213797465,0.01255415274142858,8
0,exchange_rate,chronos-2,regime_trend,0.02,1.8950772859739016,0.013355725504321774,8
0,exchange_rate,chronos-t5,regime_trend,0.02,1.8734073113304384,0.012875590064204136,8
0,exchange_rate,chronos-2,regime_trend,0.04,1.8876480962190365,0.01220620596579264,8
0,exchange_rate,chronos-t5,regime_trend,0.04,2.03389450923934,0.013863089758495178,8
0,exchange_rate,chronos-2,regime_trend,0.06,3.0896943053309607,0.012550381071733858,8
0,exchange_rate,chronos-t5,regime_trend,0.06,3.2194487783594523,0.0138329497795588,8
0,exchange_rate,chronos-2,regime_trend,0.09,3.1875466230242018,0.015450684015503115,8
0,exchange_rate,chronos-t5,regime_trend,0.09,2.9050123876257534,0.0165689858625469,8
0,exchange_rate,chronos-2,regime_trend,0.13,4.18621783879704,0.015435030610008596,8
0,exchange_rate,chronos-t5,regime_trend,0.13,4.459947311387475,0.01601286996676069,8
0,exchange_rate,chronos-2,regime_trend,0.18,6.578615055602347,0.024070412408812438,8
0,exchange_rate,chronos-t5,regime_trend,0.18,6.216154076680931,0.023837561338577187,8
0,exchange_rate,chronos-2,regime_trend,0.25,8.936658479344892,0.044367467935958894,8
0,exchange_rate,chronos-t5,regime_trend,0.25,9.11185591611926,0.043996886008314126,8
0,monash_fred_md,chronos-2,clean,0.0,0.4532046285633289,0.02010413991667694,100
0,monash_fred_md,chronos-t5,clean,0.0,0.4444821362323673,0.016194905629114045,100
0,monash_fred_md,chronos-2,regime_trend,0.01,0.4745521287749017,0.019609117616518564,100
0,monash_fred_md,chronos-t5,regime_trend,0.01,0.4650330389481915,0.01668118444117059,100
0,monash_fred_md,chronos-2,regime_trend,0.02,0.5109460890249384,0.021243923860886003,100
0,monash_fred_md,chronos-t5,regime_trend,0.02,0.5219237748772972,0.019545877787732823,100
0,monash_fred_md,chronos-2,regime_trend,0.04,0.6114473315331399,0.02006978680262092,100
0,monash_fred_md,chronos-t5,regime_trend,0.04,0.6491201572130378,0.017192357531667778,100
0,monash_fred_md,chronos-2,regime_trend,0.06,0.8003242368047797,0.026601300824985737,100
0,monash_fred_md,chronos-t5,regime_trend,0.06,0.7809865181482814,0.024037325336794212,100
0,monash_fred_md,chronos-2,regime_trend,0.09,1.0823108878560068,0.031144413455959266,100
0,monash_fred_md,chronos-t5,regime_trend,0.09,1.1549438120307345,0.03160497919371228,100
0,monash_fred_md,chronos-2,regime_trend,0.13,1.509888244343376,0.03019492525359247,100
0,monash_fred_md,chronos-t5,regime_trend,0.13,1.5161223252306428,0.028686500482455666,100
0,monash_fred_md,chronos-2,regime_trend,0.18,2.00023847422945,0.04811789848336496,100
0,monash_fred_md,chronos-t5,regime_trend,0.18,1.9698860511415737,0.04516077204691105,100
0,monash_fred_md,chronos-2,regime_trend,0.25,2.6745820457281373,0.06386400945264063,100
0,monash_fred_md,chronos-t5,regime_trend,0.25,2.680493395730049,0.06710008187429028,100
0,monash_hospital,chronos-2,clean,0.0,0.7870107936415635,0.061281917662917254,100
0,monash_hospital,chronos-t5,clean,0.0,0.843113891375496,0.0672613080996605,100
0,monash_hospital,chronos-2,regime_trend,0.01,0.7879380241428112,0.061651208947030356,100
0,monash_hospital,chronos-t5,regime_trend,0.01,0.8492526065797797,0.06666216849015377,100
0,monash_hospital,chronos-2,regime_trend,0.02,0.7878854546544632,0.06152186097720348,100
0,monash_hospital,chronos-t5,regime_trend,0.02,0.8575499727796313,0.06699887122999643,100
0,monash_hospital,chronos-2,regime_trend,0.04,0.787868998573173,0.06192379433120635,100
0,monash_hospital,chronos-t5,regime_trend,0.04,0.8409777534001217,0.0669188544897508,100
0,monash_hospital,chronos-2,regime_trend,0.06,0.7875166910968889,0.06020078366526868,100
0,monash_hospital,chronos-t5,regime_trend,0.06,0.8202714071126642,0.0665881327224838,100
0,monash_hospital,chronos-2,regime_trend,0.09,0.7826803472426085,0.059283402454121364,100
0,monash_hospital,chronos-t5,regime_trend,0.09,0.808108076609253,0.06487569958919752,100
0,monash_hospital,chronos-2,regime_trend,0.13,0.7860700969544232,0.058728902601919826,100
